,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18322,14371877,Spacious 1 bedroom in loft-style building,9725785,J.D. & Stephanie,Brooklyn,Williamsburg,40.7103,-73.96833,Private room,79,1,39,2019-06-13,1.11,2,152
5929,4338548,Gorgeous Sunny Bohemian Duplex with Garden,910592,Angie And Matthew,Brooklyn,Bedford-Stuyvesant,40.6845,-73.93968,Entire home/apt,102,1,10,2019-01-26,0.18,1,4
46066,35059681,Private small room with a queen bed near LGA (#03),264092618,Ajmol,Queens,East Elmhurst,40.76481,-73.87242,Private room,60,1,15,2019-07-07,10.23,5,89
1465,656281,"QUIET, SPACIOUS, COMFORTABLE, & GREAT LOCATION",3180741,Manon,Brooklyn,Kensington,40.64573,-73.98013,Private room,72,1,48,2019-02-28,0.59,1,312
30834,23874025,Sonder | 116 John | Bright 1BR + Gym,12243051,Sonder,Manhattan,Financial District,40.70791,-74.00545,Entire home/apt,179,29,2,2019-02-26,0.36,96,333
2079,937678,Bushwick Loft,5062254,Michael,Brooklyn,Bushwick,40.70627,-73.92223,Entire home/apt,155,2,20,2019-07-01,0.26,1,0
14379,11229663,"Joyce and Donovan's, Room for One",56878925,Joyce,Queens,Forest Hills,40.72282,-73.85571,Private room,37,25,15,2018-08-18,0.45,2,330
31800,24806106,“Studio” ideally located  across Golf Course,132669029,Edwin,Bronx,Throgs Neck,40.81437,-73.82774,Entire home/apt,74,2,37,2019-06-13,2.63,4,70
23615,19100971,Spacious Bedroom with lots of Natural Light,81745867,Jacqueline,Manhattan,Washington Heights,40.84917,-73.94048,Private room,70,2,2,2018-06-25,0.16,1,0
14585,11511431,Historic Upper West Side Townhouse 1 or 2 Bdrms,23901404,Ray,Manhattan,Harlem,40.82334,-73.94811,Entire home/apt,165,2,90,2019-07-07,2.58,1,35
33110,26128481,Cozy Home Away TH,179436298,Nyota,Brooklyn,Crown Heights,40.66391,-73.95618,Entire home/apt,112,2,3,2018-12-29,0.29,2,364
27755,21781196,Private room (2 beds) close to Time Square,66797339,Christian,Manhattan,Hell's Kitchen,40.76026,-73.98875,Private room,250,3,1,2017-12-11,0.05,1,0
26165,20864878,High Line Sun Drenched Home,13462349,Elvis,Manhattan,Chelsea,40.7469,-73.99494,Entire home/apt,200,2,40,2019-06-19,1.81,1,288
13865,10488505,3 bedroom duplex next to Central Pk,5162192,Amy,Manhattan,Upper West Side,40.79783,-73.96405,Entire home/apt,275,30,10,2018-12-28,0.25,12,219
38708,30388352,"Lofty UES 1BR w/ Indoor pool, Doorman, City views by Blueground",107434423,Blueground,Manhattan,Upper East Side,40.77518,-73.9491,Entire home/apt,289,30,1,2019-03-31,0.3,232,235
4505,3106154,"Safe, Cozy, Cute and Cheap",2885147,Marty,Queens,Rego Park,40.7246,-73.85744,Entire home/apt,52,2,1,2014-05-24,0.02,1,0
44349,34184826,Private big room in upper east side,45317760,Mohammed,Manhattan,Upper East Side,40.76915,-73.95515,Private room,60,14,3,2019-06-02,2.25,3,29
36421,28961444,Couples Retreat/One min to subway/WiFi/Coffee!,79913651,Darryl,Manhattan,East Harlem,40.80608,-73.93718,Private room,56,1,20,2019-06-05,2.19,4,129
23968,19329404,Immaculate and Sweet Carroll Gardens 1 Bedroom,1580521,Sylvia,Brooklyn,Carroll Gardens,40.67777,-73.99893,Entire home/apt,160,2,72,2019-06-23,3.2,1,236
28366,22033927,"Brooklyn Loft, 3bed, 2bath, 15 mins to Manhattan",160891716,Amanda,Brooklyn,Bedford-Stuyvesant,40.6798,-73.93857,Entire home/apt,325,2,21,2019-06-16,1.1,1,14
20070,16069925,Great location in NYC!,13599766,David,Manhattan,Morningside Heights,40.80325,-73.96174,Private room,80,8,3,2018-06-03,0.1,1,79
29286,22466315,Lower East Side - Lovely Studio! #14,158969505,Karen,Manhattan,Lower East Side,40.72147,-73.99181,Entire home/apt,170,30,4,2019-01-07,0.3,9,281
8383,6447136,Magical Oasis in Bushwick! 20 min to City,33648474,Leah,Brooklyn,Bushwick,40.6971,-73.92046,Entire home/apt,120,2,56,2019-07-04,1.11,1,314
12296,9505990,whole apartment & 2 cats!,49260425,Fernanda,Brooklyn,Bushwick,40.69544,-73.93221,Entire home/apt,68,3,1,2016-07-25,0.03,1,0
17091,13549611,Bright and cozy apt next to park,59575555,Para,Brooklyn,Cypress Hills,40.68144,-73.89416,Entire home/apt,75,5,2,2016-08-15,0.06,1,0
4045,2563440,Big & Cozy Private Room,8785876,Alessandro,Manhattan,Harlem,40.8235,-73.95144,Private room,68,1,86,2019-06-10,1.36,1,64
29108,22360921,"Safe, clean, bright and cozy first floor BK gem!",33738190,Jen,Brooklyn,Sunset Park,40.66182,-73.99794,Entire home/apt,350,1,2,2018-01-01,0.11,3,0
33783,26775656,"Bright, Private Bedroom in Bushwick Proper",10457486,Kevin,Brooklyn,Bushwick,40.69808,-73.92417,Private room,47,1,17,2019-06-11,1.63,1,106
38329,30193375,*NO GUEST SERVICE FEE* Beekman Tower Studio Suite  #4,205031545,Red Awning,Manhattan,Midtown,40.75385,-73.96573,Entire home/apt,675,28,1,2019-05-20,0.6,49,234
8255,6359111,"A huge, debonair loft in midtown",5720429,Gregory,Manhattan,Murray Hill,40.74853,-73.98192,Entire home/apt,325,1,66,2019-07-02,1.33,1,67
35163,27896962,Private Studio with Backyard in Brooklyn,4324281,Jasmine,Brooklyn,Bedford-Stuyvesant,40.68231,-73.95202,Entire home/apt,75,2,17,2019-06-30,2.17,1,77
4050,2569466,Shared studio in East Harlem,13156191,Serenity,Manhattan,East Harlem,40.79731,-73.94231,Shared room,55,1,10,2015-08-18,0.2,1,0
7371,5442584,one bedroom in the middle of it all,27204642,Anna,Manhattan,Theater District,40.76115,-73.98224,Entire home/apt,200,30,14,2019-05-09,0.29,1,284
28732,22208315,Patio Perfection,55324782,Kaitlin,Manhattan,Upper West Side,40.78309,-73.97831,Private room,75,1,1,2018-01-01,0.05,1,0
20097,16095115,Walk through room close to everything,62828813,Kate,Manhattan,Lower East Side,40.71339,-73.98926,Private room,69,3,47,2019-05-22,1.5,1,217
19993,16004955,Beautiful Williamsburg Home on the Park,1151840,Antonio,Brooklyn,Williamsburg,40.71824,-73.95289,Entire home/apt,220,5,1,2016-12-27,0.03,1,0
35735,28359765,STUDIO WITH OUTDOOR SPACE-CHELSEA MARKET-WEST 19TH,200380610,Pranjal,Manhattan,Chelsea,40.74138,-73.99729,Entire home/apt,175,30,1,2019-06-13,1.0,65,342
8676,6662241,NYC Brownstone Duplex With Backyard in Chelsea.,30208406,Yaron,Manhattan,Chelsea,40.73857,-73.99787,Entire home/apt,400,1,4,2017-12-31,0.08,1,0
10121,7762374,Artsy townhouse in Sugar Hill (Manhattan),1273607,David,Manhattan,Harlem,40.82651,-73.94871,Entire home/apt,450,3,35,2019-06-28,0.77,1,264
5164,3725902,"Sunny zen apt in Park Slope, BK",4830699,Jennifer,Brooklyn,Gowanus,40.6779,-73.98421,Entire home/apt,162,1,9,2016-09-06,0.23,1,0
32779,25814918,Large private sunny room near Times Sq. 21B3,190921808,John,Manhattan,Hell's Kitchen,40.75396,-73.99684,Private room,60,7,5,2019-04-27,0.49,47,326
1994,877135,Williamsburg 1br APT,4628887,Hoonju / Co Host: Jose,Brooklyn,Williamsburg,40.71518,-73.94571,Entire home/apt,95,3,36,2019-06-16,0.95,1,89
43953,33964812,Luxury FiDi Terrace Apt by Seaport & WTC,10714783,Mickey,Manhattan,Financial District,40.70824,-74.00476,Entire home/apt,200,2,4,2019-07-02,2.45,1,38
17168,13599973,Private Room in Cozy 2-Bdrm Greenwich Village Apt.,4025420,Karine,Manhattan,Greenwich Village,40.72948,-73.99986,Private room,115,3,20,2019-07-04,0.59,2,15
4767,3373030,"Cute,Cozy Lower East Side 1bdrm",7549,Ben,Manhattan,Lower East Side,40.71307,-73.99025,Entire home/apt,150,1,60,2019-06-25,1.0,4,188
38663,30378040,Artsy Stuyvesant Private Bedroom Madison 2L-1,226410657,Nina,Brooklyn,Bedford-Stuyvesant,40.68555,-73.93107,Private room,42,30,1,2019-03-05,0.24,27,332
31230,24251311,Beautiful 1 BR Apt in the Heart of West Village!,41361010,Zack,Manhattan,West Village,40.73333,-74.0052,Entire home/apt,300,2,8,2019-05-20,0.81,1,199
310,72190,1BR: See Central Park from Terrace!,373085,Hudson,Manhattan,Upper West Side,40.77728,-73.97818,Entire home/apt,110,13,38,2019-02-15,0.39,1,0
35758,28369515,Étage au sein d’un duplex à Brooklyn,2771943,Sophie & Grégoire,Brooklyn,Clinton Hill,40.68227,-73.96486,Private room,175,2,9,2019-06-30,0.89,1,17
30230,23340718,Enormous 10 foot ceiling Bushwick room,131476075,Lakisha,Brooklyn,Bushwick,40.68708,-73.91237,Private room,58,1,10,2019-01-03,0.63,8,179
8298,6384275,GARDEN OASIS CLINTON HILL BROWNSTON,252121,Emiliano,Brooklyn,Clinton Hill,40.68374,-73.96452,Entire home/apt,130,3,97,2019-06-17,1.95,1,348
190,47926,LUX APT IN TIMES SQUARE NEW BUILDING,218404,Claudia,Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275,1,41,2019-06-26,0.38,1,299
46276,35181903,Stunning Park Slope Duplex (15 Mins to Manhattan!),264934283,Susan,Brooklyn,Windsor Terrace,40.65957,-73.98376,Entire home/apt,450,3,3,2019-07-01,3.0,2,302
22726,18392140,Sun-lit bedroom in Crown Heights,2828476,Masha,Brooklyn,Prospect-Lefferts Gardens,40.66019,-73.94885,Entire home/apt,80,14,1,2017-07-01,0.04,1,0
4795,3400359,Awesome Deal NYC,16286162,Pat,Bronx,Allerton,40.86677,-73.85938,Private room,49,2,114,2019-06-29,1.87,4,240
3483,2084817,Huge Bedroom at Downtown Manhattan,2657134,Luna,Manhattan,Lower East Side,40.71044,-73.98756,Private room,128,1,16,2018-02-28,0.75,1,0
15175,12114017,SoBro Guest House,64976141,Fran & Jason,Bronx,Mott Haven,40.80903,-73.92143,Entire home/apt,125,3,142,2019-06-25,3.59,1,185
1696,767983,Gorgeous Williamsburg Apt + balcony,4048448,Miki & Yacine,Brooklyn,Williamsburg,40.71435,-73.95073,Entire home/apt,200,3,4,2015-12-31,0.05,1,0
16098,13007629,The spot in chinatown,3059285,Pierce,Manhattan,Chinatown,40.71536,-73.99794,Entire home/apt,290,2,3,2016-10-30,0.08,1,0
836,294490,Loft Suite @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73857,-73.95299,Entire home/apt,199,3,54,2019-06-10,0.61,28,60
13981,10630048,Sunny modern oasis near THE Park,9273561,Nadine,Manhattan,East Harlem,40.79013,-73.94473,Private room,75,2,21,2016-09-19,0.5,1,0
37867,29964510,"Private&comfortable bedroom.
Williamsburg Brooklyn",225291555,Daniela,Brooklyn,Williamsburg,40.71101,-73.93613,Private room,105,2,2,2018-12-09,0.28,2,148
21680,17417619,"Huge room, Social Home!",21697069,Kelly,Brooklyn,Kensington,40.64465,-73.97871,Private room,45,3,5,2017-04-12,0.18,1,0
26116,20827546,Small Bedroom in Dreamy Brownstone,12568104,Brielle,Brooklyn,Williamsburg,40.71353,-73.96453,Private room,60,3,1,2018-03-16,0.06,1,0
46134,35096805,Spacious Bushwick Home w/ Zen Garden & Yoga Loft,5273020,Stéphen,Brooklyn,Bushwick,40.69388,-73.92564,Private room,100,3,1,2019-06-30,1.0,1,40
33632,26627587,RH COZY HOME,199954647,Danny,Queens,Richmond Hill,40.69666,-73.83415,Entire home/apt,100,3,15,2019-01-01,1.33,1,0
23804,19221595,Brooklyn Designer 3 Bedrms free parking,131659,Ruth,Brooklyn,Bushwick,40.68267,-73.90576,Entire home/apt,148,3,79,2019-06-22,3.22,1,258
30481,23593582,Jestina's Place: Private bedroom &  livingroom!,111262060,Jestina,Brooklyn,Flatbush,40.64105,-73.957,Private room,70,1,66,2019-06-09,4.07,1,144
46148,35117522,Coolest affordable room in Williamsburg!,79723533,Matías,Brooklyn,Williamsburg,40.70552,-73.94223,Private room,52,3,3,2019-07-01,3.0,1,68
10787,8303337,Your Riverside Romance: Sunny and Bright Apartment,8791857,Mario,Manhattan,Morningside Heights,40.81067,-73.96377,Entire home/apt,194,5,29,2019-06-22,0.75,1,102
14751,11657888,Super Comfy Convenient Room in Hip Brooklyn!!!!!,60346942,Josh & Madeleine,Brooklyn,Bedford-Stuyvesant,40.69165,-73.94345,Private room,62,1,244,2019-05-29,6.02,4,189
16407,13174433,Modern West Village 1 Bedroom - PRIME LOCATION!,2926947,Amit,Manhattan,West Village,40.73908,-74.00186,Entire home/apt,150,2,11,2017-01-08,0.3,1,0
12779,9768199,Unique & Whimsical-Entire 1-BRM Apt UWS,50366054,Blake,Manhattan,Upper West Side,40.80055,-73.96011,Entire home/apt,129,3,6,2019-05-14,0.14,1,0
23600,19094459,"Large one bedroom apt., very bright, huge balcony.",624441,Joseph,Manhattan,Upper West Side,40.79155,-73.97315,Entire home/apt,180,30,9,2019-05-31,0.43,1,57
23590,19085687,"Cozy, Friendly, and 2 mins from the subway station",69442306,Oz,Brooklyn,Prospect-Lefferts Gardens,40.65512,-73.96186,Private room,90,3,1,2017-06-29,0.04,1,0
14131,10847901,"Huge, sunny private room - 1 block from train",38116129,Marissa,Brooklyn,Bensonhurst,40.60729,-74.00117,Private room,68,2,39,2019-01-02,1.1,1,0
2735,1475661,Gorgeous Apt. 20 min to Manhattan!,7897301,Rickey,Queens,Astoria,40.7703,-73.93306,Entire home/apt,140,2,13,2014-09-01,0.18,1,0
44768,34393554,Mini Casa,247013511,Frank,Queens,Jackson Heights,40.75231,-73.8756,Entire home/apt,69,2,3,2019-05-19,1.5,6,36
21972,17680571,Brooklyn Garden Apartment in 2 Family House,3811546,Vinz,Brooklyn,Bedford-Stuyvesant,40.69076,-73.95404,Entire home/apt,122,4,59,2018-09-01,2.11,1,217
11428,8880194,"Private Bedroom, Huge Apt.",18023496,Bobby,Manhattan,Midtown,40.74382,-73.98798,Private room,100,1,1,2015-10-15,0.02,1,0
33241,26252069,Beautiful cozy apartment in Midtown West,197190247,Jacob,Manhattan,Hell's Kitchen,40.76389,-73.9871,Shared room,80,1,60,2019-06-19,4.76,7,225
20662,16396753,Private room in the heart of East village,5212097,Chris,Manhattan,East Village,40.72258,-73.98148,Private room,100,3,5,2019-03-19,0.19,2,0
19941,15975039,NYC/ ✰ Prime Williamsburg ✰  w/ Private Patio,5179523,Max,Brooklyn,Williamsburg,40.71169,-73.95827,Private room,91,1,13,2019-06-12,0.55,3,85
21726,17463419,Private sunny room with private bathroom&entrance,33116792,Sophie,Queens,Ridgewood,40.69406,-73.90068,Private room,31,5,75,2019-07-01,2.7,1,13
18501,14570408,Private room in 2 BR on Woodside,70769144,Byungdo,Queens,Woodside,40.75105,-73.90152,Private room,30,7,1,2016-12-01,0.03,1,0
37660,29858919,Luxury Family- Friendly Brooklyn Condo,612551,Mike,Brooklyn,Bedford-Stuyvesant,40.6858,-73.95375,Entire home/apt,150,7,2,2019-06-16,1.36,1,0
11372,8841646,Art & Light-Filled Apt By The Park,5380471,John,Manhattan,East Harlem,40.79037,-73.9445,Entire home/apt,125,1,2,2015-11-29,0.04,1,0
14053,10731680,3 bedroom in the heart of Manhattan,12133055,Martin,Manhattan,Hell's Kitchen,40.75981,-73.99071,Entire home/apt,400,3,124,2019-06-17,3.0,1,261
2430,1209955,The Green Room: Your NYC Adventure starts here,3007815,Alia,Queens,Ditmars Steinway,40.77147,-73.9166,Private room,69,2,103,2019-06-23,1.39,2,124
5778,4215595,LowerEastSide apt share shortterm 3,7549,Ben,Manhattan,Lower East Side,40.71329,-73.99047,Shared room,40,1,88,2019-05-19,1.53,4,197
19669,15755439,2 bedroom  apartment in front of prospect park,3033622,Jose,Brooklyn,Windsor Terrace,40.65237,-73.97365,Entire home/apt,90,7,1,2017-12-31,0.05,2,210
43393,33632312,"Comfortable,spacious and luxurious homely settings",184472924,Odaine,Brooklyn,East New York,40.6633,-73.89733,Entire home/apt,140,2,7,2019-06-09,2.63,1,157
45024,34493247,Central Park Condo,257396181,Steven,Manhattan,Midtown,40.76547,-73.97952,Entire home/apt,250,30,1,2019-06-21,1.0,1,342
2623,1377134,Room in lovely E.Village triplex,7460434,Rocco,Manhattan,East Village,40.72383,-73.9829,Private room,120,3,90,2019-06-14,1.25,2,173
11160,8642982,Cozy BK RM for 2! 30min > Manhattan,13440686,Samuel,Brooklyn,Bedford-Stuyvesant,40.68233,-73.91001,Private room,45,1,87,2017-08-28,1.9,1,0
25519,20424288,Quintessential Soho Loft,625403,Tobias,Manhattan,SoHo,40.72171,-74.00396,Entire home/apt,250,90,1,2019-02-28,0.23,1,0
43791,33877798,NYC High End Upper East Side Central Park Gem Home,147675745,Freda,Manhattan,Upper East Side,40.77867,-73.95143,Entire home/apt,151,1,30,2019-07-01,11.25,1,42
8946,6863691,BKLYN'S Best 3BR Townhouse  W/Garden,700224,Shane & Nicole,Brooklyn,Gowanus,40.68338,-73.98657,Entire home/apt,250,29,16,2019-04-30,0.36,4,300
40264,31223941,Neat & Tidy - East Village,1717520,Andrew,Manhattan,East Village,40.72405,-73.9845,Entire home/apt,187,3,1,2019-01-17,0.17,2,0
39342,30694768,A Relaxing Place in Inwood,188050970,Walkiria,Manhattan,Inwood,40.85962,-73.92971,Private room,65,1,25,2019-06-26,3.89,1,86
2381,1166616,Gorgeous Large Sunny Room - Upper Manhattan,6388666,Celine,Manhattan,Washington Heights,40.84002,-73.9385,Private room,80,2,56,2019-06-22,0.76,1,249
5072,3642325,Luxurious Brooklyn 2BD w/ Parking,16916853,Olga,Brooklyn,Sheepshead Bay,40.58363,-73.93553,Entire home/apt,260,7,3,2017-03-13,0.05,2,363
600,227715,ROOM WITH KITCHENETTE #2,209460,Marylyn,Brooklyn,Bedford-Stuyvesant,40.67855,-73.94949,Entire home/apt,80,3,234,2019-06-30,2.47,4,308
27676,21740055,Newly Renovated Brownstone Brooklyn Apartment,5375870,Rebecca,Brooklyn,Crown Heights,40.6725,-73.94788,Entire home/apt,130,4,46,2019-06-27,2.39,1,28
3064,1808497,Queen size room in Brooklyn,7557833,Christine,Brooklyn,Bedford-Stuyvesant,40.69023,-73.94628,Private room,75,1,19,2019-06-22,0.29,5,289
46980,35520721,A Treasure by The Water,26543881,Walt & Daisy,Queens,Rockaway Beach,40.58447,-73.81704,Entire home/apt,200,3,2,2019-06-30,2.0,1,261
22699,18371333,Beautiful and Sunny Private Room in Brooklyn,7496038,Sebastian,Brooklyn,Bushwick,40.69306,-73.91918,Private room,49,2,24,2019-06-09,0.91,1,0
43012,33398320,Residence Near JFK (T1F/ TB4),145727343,Janelle,Queens,Jamaica,40.68324,-73.79169,Private room,39,1,4,2019-05-12,1.45,3,157
38486,30288068,A cozy one-bedroom in the heart of Harlem,1705112,Simon,Manhattan,Harlem,40.81486,-73.93941,Entire home/apt,70,1,1,2019-06-24,1.0,1,6
28165,21958076,Old World Charm in the Heart of Brooklyn R2,160300400,Tina,Brooklyn,Bay Ridge,40.62848,-74.03077,Private room,79,4,12,2019-06-30,0.62,2,175
33009,26038458,Verona TwentyOne - PHOEBE'S PLACE,195691349,Norman,Brooklyn,Bedford-Stuyvesant,40.68037,-73.94775,Entire home/apt,150,1,95,2019-07-07,7.94,3,243
41785,32492910,JFK LUXURY BEDROOM # 2,244082709,Jfk,Queens,Springfield Gardens,40.65973,-73.77125,Private room,55,1,17,2019-06-25,3.92,7,161
18693,14798850,Cool Brooklyn spot,92441472,Scott,Brooklyn,Bedford-Stuyvesant,40.69576,-73.96137,Private room,37,2,1,2016-08-30,0.03,1,0
23524,19048034,The Calm Stay- Comfy and Clean Getaway Room,22343983,Mo,Manhattan,Washington Heights,40.85674,-73.93003,Private room,35,2,5,2017-06-30,0.2,1,0
39739,30925647,Private room 20 minutes away from Manhattan,184641438,Saly,Queens,Sunnyside,40.74194,-73.91787,Private room,65,1,4,2019-06-03,0.59,2,341
1785,802677,Large & Elegant Pre-War One Bedroom,4224513,Adam,Manhattan,Upper West Side,40.78592,-73.97775,Entire home/apt,173,4,16,2018-11-10,0.2,1,0
27864,21826195,Spacious Manhattan Studio - Greenwich Village,27090361,Kaleisha,Manhattan,Greenwich Village,40.73213,-73.99323,Entire home/apt,126,3,2,2017-11-26,0.1,1,0
1032,424930,2BR Lux Prospect Heights,905122,Supriya,Brooklyn,Crown Heights,40.6764,-73.96218,Entire home/apt,130,28,5,2015-10-06,0.06,1,196
12688,9730117,Carriage House Loft with Fireplace,68890,Paula,Brooklyn,Bedford-Stuyvesant,40.68968,-73.95213,Entire home/apt,250,1,11,2018-10-29,0.32,3,365
25243,20194665,"20min To Times Square, 10min LGA",139867352,Oscar,Queens,Ditmars Steinway,40.78088,-73.90819,Private room,39,1,178,2019-06-22,7.57,2,327
26935,21343278,New York private studio apt.,145687876,Sapir,Queens,Forest Hills,40.72453,-73.8498,Entire home/apt,80,3,1,2017-11-06,0.05,1,0
42710,33155909,Spacious apt in NYC minutes away from midtown,249637449,Inna,Manhattan,Harlem,40.82311,-73.94749,Entire home/apt,130,2,12,2019-07-01,3.4,1,14
43984,33982630,WEST VILLAGE Bohemian flat in neo-Tudor town house,27636707,Gaia&Pietro,Manhattan,West Village,40.73367,-74.00497,Entire home/apt,250,3,2,2019-06-20,0.88,5,265
38049,30059328,Two Blocks from Washington Square Park!!,41194120,Melissa,Manhattan,Greenwich Village,40.72978,-73.99982,Entire home/apt,275,1,4,2019-05-26,0.61,1,0
10054,7718452,Cosy and Convenient Carroll Garden,3074287,Gianni,Brooklyn,Carroll Gardens,40.68333,-73.99369,Entire home/apt,147,4,91,2019-05-27,2.1,2,3
30836,23874777,Sonder | 116 John | Lively 1BR + Gym,12243051,Sonder,Manhattan,Financial District,40.70852,-74.0062,Entire home/apt,187,29,1,2019-05-28,0.71,96,332
30935,23964830,Upper East Side Cozy Room!!!,180219381,Johnny,Manhattan,East Harlem,40.78771,-73.95143,Private room,70,2,73,2019-06-25,4.69,1,260
47705,35875111,Dikeman comfort,261779182,Torrey,Brooklyn,Red Hook,40.67568,-74.00997,Entire home/apt,125,2,1,2019-06-21,1.0,2,325
30868,23901118,"Room #3 Bright, Quiet, Near Race-track and Casino",179619904,Gregorio,Queens,South Ozone Park,40.6736,-73.82092,Private room,65,2,16,2019-06-24,1.15,3,180
28708,22204167,Your perfect NYC guesthouse getaway prvt entrance,94981926,Steve & Irina,Queens,Rego Park,40.72997,-73.86523,Entire home/apt,135,1,27,2019-06-27,1.46,1,365
957,375249,Enjoy Staten Island Hospitality,1887999,Rimma & Jim,Staten Island,Graniteville,40.62109,-74.16534,Private room,20,3,80,2019-05-26,0.92,1,226
46123,35090587,Girls only,264327510,Yaren,Queens,Sunnyside,40.74351,-73.92281,Private room,50,3,4,2019-06-28,4.0,1,0
26826,21281525,Cozy Studio in the Heart of Greenwich Village,970375,Joe,Manhattan,Greenwich Village,40.73213,-73.99957,Entire home/apt,130,3,43,2019-07-01,2.06,1,7
2363,1150514,Lovely Entire Apt in Prime Brooklyn,4376062,Eliza,Brooklyn,Fort Greene,40.68798,-73.97182,Entire home/apt,138,7,1,2013-05-24,0.01,1,0
13095,9904570,HighRise Bryant Park Apt w NYC View,3631872,Rui,Manhattan,Midtown,40.75342,-73.98729,Entire home/apt,200,4,3,2016-03-22,0.07,1,0
27464,21640455,Spacious bedroom away from home,157481445,Jeanette,Manhattan,Washington Heights,40.83878,-73.94731,Private room,75,2,78,2019-06-30,3.9,1,230
11691,9096938,Sunny plant-filled Park Slope apt,14356,Amy,Brooklyn,South Slope,40.66255,-73.983,Private room,70,6,9,2017-08-31,0.21,1,0
35901,28513774,Cozy 2 Bedroom Apt w/ Patio & Hot Tub near Trains,108249932,Yngrid And Jiovanni,Brooklyn,East New York,40.6757,-73.88925,Entire home/apt,175,3,22,2019-06-30,2.89,2,285
29090,22354598,Ideal studio in Midtown Manhattan,120762452,Stanley,Manhattan,Murray Hill,40.74979,-73.97551,Entire home/apt,111,30,1,2019-04-06,0.32,50,317
29004,22324099,Comfortable room in Manhattan Chinatown Apartment,21028594,Gorm,Manhattan,Chinatown,40.71623,-73.99521,Private room,41,15,3,2018-01-16,0.16,1,0
11871,9240606,"Sunny, Book-Filled Room in Carroll Gardens",14078910,Andy,Brooklyn,Carroll Gardens,40.68172,-73.99358,Private room,75,2,42,2018-06-06,0.96,1,0
32970,26002676,Lovely one bedroom apartment in Wiliamsburg,15570509,Helen,Brooklyn,Williamsburg,40.70779,-73.95467,Entire home/apt,350,2,8,2019-05-19,1.06,1,129
1629,741354,Simple and cozy place on the beach,2577615,Ella,Brooklyn,Brighton Beach,40.57728,-73.95362,Entire home/apt,73,30,21,2017-04-18,0.26,1,251
5995,4387491,"Light Filled Spacious 1BR, with Cat",3597708,Brittan,Brooklyn,Bedford-Stuyvesant,40.68708,-73.9577,Entire home/apt,115,2,9,2015-09-06,0.16,1,0
21717,17458291,RM,38294216,Rachel,Queens,South Ozone Park,40.66654,-73.81219,Private room,55,10,1,2018-08-11,0.09,4,300
3805,2292275,Instant NYC,11710466,Lindsey,Manhattan,Upper East Side,40.77715,-73.94788,Entire home/apt,135,2,3,2016-06-15,0.06,1,0
39618,30824853,Stunning apartment heart of Williamsburg 2bd/2ba,5503926,Giancarlo,Brooklyn,Williamsburg,40.71158,-73.96162,Entire home/apt,250,3,16,2019-06-30,2.35,1,271
16838,13427702,Cozy Room for 2 in Astoria!,11791633,Neel,Queens,Ditmars Steinway,40.77437,-73.91854,Private room,65,1,1,2016-07-13,0.03,1,0
14845,11756047,Beautiful Room for Rent! L Train!,41616878,Melissa,Brooklyn,Bushwick,40.69164,-73.90968,Private room,45,30,16,2019-03-31,0.43,4,334
38986,30466053,Awesome 2 bed apartment in LES,45731391,Laurence,Manhattan,Lower East Side,40.72068,-73.99019,Entire home/apt,195,2,1,2019-01-01,0.16,3,0
20166,16148036,Cozy bed in private living room,94536810,Belkis,Bronx,Bronxdale,40.85711,-73.86474,Private room,45,5,30,2019-05-23,0.98,2,318
43328,33586112,Cozy Corner,208955733,Candace,Brooklyn,East Flatbush,40.65477,-73.92207,Private room,75,1,10,2019-07-02,3.19,4,365
10507,8055859,Private Bedroom and Bath in Spacious Duplex,14019268,Seth,Brooklyn,Bushwick,40.69702,-73.93167,Private room,70,2,67,2019-06-29,1.45,2,353
34246,27162696,Sweet BR (A) in owner's duplex very near subway,35983559,Laura,Brooklyn,East Flatbush,40.63956,-73.95033,Private room,75,3,10,2019-06-30,0.91,3,123
37227,29583389,PERFECT WILLIAMSBURG PLACE W/ BACKYARD OASIS,20283518,Jamie,Brooklyn,Williamsburg,40.70516,-73.94423,Private room,85,2,34,2019-06-21,4.0,1,74
32365,25327993,Basic Little Italy 2,181074926,Billy,Manhattan,Little Italy,40.71773,-73.99812,Private room,100,1,25,2019-06-22,1.92,3,323
1580,718761,"2 private BRs, private bath - Like your OWN APT",216191,M,Brooklyn,Williamsburg,40.70985,-73.9452,Private room,146,2,8,2019-03-09,0.11,4,88
32784,25816034,Bronx 2 Bedroom with View of Manhattan Skyline,179677211,Bettina,Bronx,Van Nest,40.84778,-73.86146,Entire home/apt,150,1,29,2019-06-03,2.23,3,24
22180,17860607,Super Cozy Luxury Apt,10914834,Heidi,Manhattan,Financial District,40.70464,-74.00715,Entire home/apt,220,2,108,2019-07-01,3.92,1,225
28493,22095324,Williamsburg Gem with Private Bathroom,46396810,Chloe,Brooklyn,Williamsburg,40.70934,-73.95243,Private room,70,7,1,2017-12-30,0.05,1,0
